6.0103e-04 7.2512e-15 4.7698e-15 1.4909e-14 3.6866e-15 7.3402e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.3682e-04 7.4123e-15 5.4390e-15 1.5525e-14 3.8101e-15 7.5024e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.7475e-04 7.5695e-15 6.1590e-15 1.6262e-14 3.9336e-15 7.6993e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
7.1494e-04 7.7220e-15 6.9293e-15 1.6884e-14 4.0567e-15 7.8945e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
7.5753e-04 7.8706e-15 7.7483e-15 1.7627e-14 4.1793e-15 8.0874e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
8.0264e-04 8.0152e-15 8.6146e-15 1.8252e-14 4.3012e-15 8.2433e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
8.5045e-04 8.1561e-15 9.3903e-15 1.8878e-14 4.4224e-15 8.4319e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
9.0110e-04 8.2933e-15 1.0339e-14 1.9501e-14 4.5425e-15 8.5836e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
9.5477e-04 8.4268e-15 1.1183e-14 2.0122e-14 4.6394e-15 8.7668e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.0116e-03 8.5570e-15 1.2055e-14 2.0740e-14 4.7572e-15 8.9138e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.0719e-03 8.6842e-15 1.2954e-14 2.1354e-14 4.8734e-15 9.0587e-15 1.9900e-18 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1357e-03 8.8079e-15 1.3878e-14 2.1963e-14 4.9667e-15 9.2326e-15 9.3045e-18 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2034e-03 8.9289e-15 1.4826e-14 2.2565e-14 5.0799e-15 9.3718e-15 1.8578e-17 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2751e-03 9.0471e-15 1.5794e-14 2.3160e-14 5.1911e-15 9.5083e-15 3.5906e-17 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.3510e-03 9.1627e-15 1.6613e-14 2.3748e-14 5.2800e-15 9.6420e-15 6.0602e-17 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.4315e-03 9.2759e-15 1.7614e-14 2.4219e-14 5.3674e-15 9.8028e-15 8.6002e-17 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.5167e-03 9.3872e-15 1.8629e-14 2.4790e-14 5.4730e-15 9.9300e-15 1.1689e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6071e-03 9.4960e-15 1.9483e-14 2.5247e-14 5.5569e-15 1.0055e-14 1.6384e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7028e-03 9.6031e-15 2.0343e-14 2.5800e-14 5.6394e-15 1.0176e-14 2.0781e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.8042e-03 9.7086e-15 2.1387e-14 2.6241e-14 5.7386e-15 1.0295e-14 2.5779e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.9116e-03 9.8127e-15 2.2259e-14 2.6775e-14 5.8172e-15 1.0410e-14 3.1388e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
