1.0000e-06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.0975e-06 1.5497e-17 2.4708e-17 3.2348e-18 3.5017e-18 1.2715e-17 1.1051e-17 1.8851e-18 1.3082e-18 3.3294e-18 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2045e-06 4.1881e-17 6.7906e-17 9.0788e-18 9.8818e-18 3.5809e-17 3.1327e-17 5.3356e-18 3.7245e-18 9.4328e-18 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.3219e-06 7.3266e-17 1.2116e-16 1.6585e-17 1.8151e-17 6.5640e-17 5.7811e-17 9.8319e-18 6.9052e-18 1.7401e-17 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.4508e-06 1.0759e-16 1.8100e-16 2.5444e-17 2.7998e-17 1.0105e-16 8.9615e-17 1.5219e-17 1.0756e-17 2.6968e-17 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.5923e-06 1.4088e-16 2.4505e-16 3.5506e-17 3.9283e-17 1.4150e-16 1.2639e-16 2.1433e-17 1.5246e-17 3.8034e-17 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7475e-06 1.7024e-16 3.1119e-16 4.6696e-17 5.1949e-17 1.8677e-16 1.6804e-16 2.8459e-17 2.0378e-17 5.0578e-17 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.9179e-06 1.9850e-16 3.7749e-16 5.8972e-17 6.5990e-17 2.3679e-16 2.1465e-16 3.6305e-17 2.6174e-17 6.4635e-17 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.1049e-06 2.2606e-16 4.4262e-16 7.2302e-17 8.1432e-17 2.9165e-16 2.6641e-16 4.5003e-17 3.2670e-17 8.0274e-17 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.3101e-06 2.5325e-16 5.0551e-16 8.6639e-17 9.8332e-17 3.5151e-16 3.2359e-16 5.4600e-17 3.9917e-17 9.7599e-17 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.5354e-06 2.7805e-16 5.6522e-16 1.0190e-16 1.1677e-16 4.1663e-16 3.8655e-16 6.5155e-17 4.7976e-17 1.1674e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.7826e-06 3.0041e-16 6.1443e-16 1.1791e-16 1.3684e-16 4.8730e-16 4.5570e-16 7.6738e-17 5.6917e-17 1.3784e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.0539e-06 3.1860e-16 6.5107e-16 1.3452e-16 1.5868e-16 5.6388e-16 5.3153e-16 8.9431e-17 6.6820e-17 1.6108e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.3516e-06 3.3286e-16 6.8036e-16 1.5171e-16 1.8241e-16 6.4680e-16 6.1455e-16 1.0332e-16 7.7774e-17 1.8665e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.6784e-06 3.4256e-16 7.0575e-16 1.6952e-16 2.0822e-16 7.3651e-16 7.0532e-16 1.1851e-16 8.9875e-17 2.1477e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.0370e-06 3.4796e-16 7.2493e-16 1.8806e-16 2.3629e-16 8.3353e-16 8.0448e-16 1.3510e-16 1.0323e-16 2.4567e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.4306e-06 3.4901e-16 7.4108e-16 2.0590e-16 2.6687e-16 9.3841e-16 9.1265e-16 1.5321e-16 1.1794e-16 2.7960e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.8626e-06 3.4681e-16 7.5194e-16 2.2067e-16 3.0022e-16 1.0518e-15 1.0305e-15 1.7295e-16 1.3414e-16 3.1683e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.3367e-06 3.4150e-16 7.5774e-16 2.3594e-16 3.3662e-16 1.1743e-15 1.1588e-15 1.9445e-16 1.5195e-16 3.5765e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.8570e-06 3.3368e-16 7.6011e-16 2.5212e-16 3.7629e-16 1.3067e-15 1.2983e-15 2.1783e-16 1.7150e-16 4.0235e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.4281e-06 3.2424e-16 7.5662e-16 2.7096e-16 4.1916e-16 1.4498e-15 1.4498e-15 2.4324e-16 1.9291e-16 4.5125e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
7.0548e-06 3.1327e-16 7.4903e-16 2.9319e-16 4.6468e-16 1.6046e-15 1.6140e-15 2.7082e-16 2.1635e-16 5.0467e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
7.7426e-06 3.0117e-16 7.3663e-16 3.1597e-16 5.1221e-16 1.7720e-15 1.7920e-15 3.0071e-16 2.4194e-16 5.6294e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
