4	8	1.64241	1.62982	0.608426	0.610363
4	9	1.64227	1.65173	0.602423	0.800273
4	10	1.64331	1.68916	0.589351	0.921774
4	11	1.67698	1.73953	0.55801	1.15501
4	12	1.7821	1.77619	0.412174	1.43702
4	13	1.72326	1.80739	0.545771	1.26603
4	14	1.74103	1.83724	0.566072	1.10747
5	9	1.66989	1.63127	0.790794	0.602277
5	10	1.66631	1.67119	0.794715	0.73558
5	11	1.70988	1.70175	0.684188	0.883758
5	12	1.76098	1.73736	0.623126	1.16667
5	13	1.80738	1.77705	0.577653	1.44494
5	14	1.8193	1.82801	0.587424	1.49284
5	15	1.99131	2.71638	0.59616	1.55515
5	16	2.01084	2.80689	0.60384	1.62959
5	17	2.02924	2.89522	0.629334	1.70346
5	18	2.05498	2.98528	0.709246	1.81266
5	19	2.07564	3.06279	0.706275	1.92058
6	10	1.68352	1.63318	0.986961	0.588043
6	11	1.71123	1.70339	0.89798	0.669104
6	12	1.72905	1.71874	0.849882	0.83426
6	13	1.76853	1.73841	0.790921	1.163
6	14	2.12056	2.54146	0.725623	1.41874
6	15	2.14381	2.63757	0.737524	1.42253
6	16	2.16479	2.72796	0.746658	1.49447
6	17	2.18392	2.81742	0.754663	1.5738
6	18	2.20144	2.90401	0.761371	1.72289
6	19	2.22896	2.9871	0.766223	1.82447
6	20	2.24111	3.06616	0.396625	0.495207
6	21	2.40266	2.90816	0.402283	0.546254
6	22	2.54152	2.59275	0.407327	0.601941
7	11	1.76362	1.669	1.1252	0.559185
7	12	1.75943	1.75246	1.14497	0.616435
7	13	2.34861	2.08847	1.14674	0.771986
7	14	2.38207	2.35947	1.11712	1.13085
7	15	2.41574	2.58607	1.0918	1.41569
7	16	2.45251	2.68512	1.09059	1.47249
7	17	2.47397	2.77882	1.08951	1.55313
7	18	2.49302	2.86929	1.08826	1.65166
7	19	2.51052	2.95709	1.08627	1.75063
7	20	2.52651	3.03965	0.380585	0.471109
7	21	2.54082	3.1168	0.382184	0.487989
7	22	2.66231	2.93093	0.382753	0.529005
7	23	3.10809	3.1801	0.393119	0.556371
8	14	2.56089	2.1011	0.45	0.723662
8	15	2.60724	2.39468	0.45	1.1044
8	16	2.65001	2.6289	0.45	0.53
8	17	2.67334	2.73083	0.45	0.53
8	18	2.69408	2.82475	0.45	0.53
8	19	2.71297	2.9243	0.45	0.53
8	20	2.73009	3.00925	0.45	0.53
8	21	2.74545	3.08908	0.443466	0.424853
8	22	2.75961	3.16336	0.443327	0.432723
8	23	2.85046	2.95225	0.44389	0.459627
8	24	2.92164	2.47728	0.444335	0.49156
8	25	2.9519	2.5793	0.444434	0.500101
8	26	2.97887	2.69934	0.44442	0.488699
8	27	3.01297	2.82794	0.430887	0.532828
8	28	3.04444	2.96908	0.443876	0.543532
8	29	3.04594	2.95661	0.44382	0.547891
8	30	3.04744	2.94516	0.443758	0.547588
9	15	2.65299	2.12698	1.44654	0.735627
9	16	2.70739	2.4225	1.4679	1.10284
9	17	2.75444	2.65325	1.48193	1.45459
9	18	2.77773	2.75466	1.5174	1.5279
9	19	2.79731	2.85449	1.54172	1.61539
9	20	2.81561	2.94603	0.355633	0.419202
9	21	2.83142	3.02947	0.403431	0.443709
9	22	2.85324	3.10574	0.403013	0.415979
9	23	2.85929	3.17879	0.407182	0.426116
9	24	2.94563	2.95752	0.408684	0.450679
9	25	3.0163	2.44865	0.413125	0.475896
9	26	3.04801	2.56018	0.418742	0.51722
9	27	3.07747	2.69583	0.427484	0.474251
9	28	3.10969	2.82607	0.417391	0.498332
9	29	3.14757	2.9722	0.453396	0.505456
9	30	3.14773	2.96774	0.454086	0.515577
9	31	3.14783	2.96428	0.455074	0.526431
10	18	2.85344	2.67533	1.56526	1.47945
10	19	2.88324	2.77654	1.60364	1.55876
10	20	2.89468	2.8699	0.410009	0.402061
10	21	2.91159	2.96347	0.412354	0.388068
10	22	2.92999	3.04763	0.415438	0.436225
10	23	2.94439	3.12121	0.420175	0.415463
10	24	2.95959	3.19398	0.422429	0.421749
10	25	3.03777	2.96482	0.428455	0.437612
10	26	3.10464	2.42223	0.428877	0.462635
10	27	3.137	2.54755	0.455919	0.490147
10	28	3.16987	2.67935	0.469212	0.51477
10	29	3.20264	2.82483	0.473699	0.484031
10	30	3.2345	2.98009	0.47618	0.490206
10	31	3.23488	2.97171	0.476612	0.503786
10	32	3.23506	2.96373	0.477071	0.518748
10	33	3.30502	3.29191	0.464778	0.550192
10	34	3.31904	3.40632	0.465251	0.546115
11	19	2.95157	2.69658	1.64932	1.49698
11	20	2.97352	2.79441	0.43298	0.352631
11	21	2.9909	2.89167	0.429434	0.393799
11	22	3.00638	2.97998	0.42685	0.387696
11	23	3.02741	3.06459	0.424997	0.404824
11	24	3.03751	3.13732	0.423662	0.407276
11	25	3.05285	3.20917	0.422742	0.416088
11	26	3.12513	2.96963	0.426436	0.430238
11	27	3.18852	2.4017	0.420336	0.454327
11	28	3.21884	2.53789	0.425607	0.492929
11	29	3.24967	2.67023	0.430934	0.496232
11	30	3.28152	2.82478	0.436324	0.473025
11	31	3.31547	2.98641	0.440691	0.47218
11	32	3.33996	3.09603	0.444051	0.50993
11	33	3.35788	3.20568	0.44743	0.531013
11	34	3.37478	3.31307	0.450838	0.537632
11	35	3.40249	3.41658	0.464858	0.532382
11	36	3.42398	3.52245	0.465408	0.527058
11	37	3.44522	3.61023	0.465985	0.556346
12	20	3.07775	3.0205	-1	-1
12	21	3.05945	2.98136	0.420519	0.399172
12	22	3.07775	3.0298	0.415191	0.401675
