           1           0           1   0.0000000000000000     
           0           1           1   0.0000000000000000     
           1           1           2   1112.2829999999999     
           2           1           3   2827.2660000000001     
           1           2           3   2572.6810000000000     
           0           3           3  -2267.0000000000000     
           3           1           4   1400.3510000000001     
           2           2           4   7073.9150000000000     
           1           3           4   1153.7610000000000     
           4           1           5   1336.3599999999999     
           3           2           5   5481.1319999999996     
           2           3           5   5266.1319999999996     
           1           4           5  -154.00000000000000     
           5           1           6   963.63300000000004     
           4           2           6   4878.0169999999998     
           3           3           6   5332.3450000000003     
           2           4           6   4487.2619999999997     
           1           5           6   152.00000000000000     
           6           1           7   940.00000000000000     
           5           2           7   4119.0699999999997     
           4           3           7   5606.2910000000002     
           3           4           7   5371.3999999999996     
           2           5           7   3531.3060000000000     
           6           2           8   3925.9749999999999     
           5           3           8   5159.5820000000003     
           4           4           8   7062.4350000000004     
           3           5           8   4717.1639999999998     
           2           6           8   3097.8000000000002     
           7           2           9   3348.6370000000002     
           6           3           9   5037.8389999999999     
           5           4           9   6462.7579999999998     
           4           5           9   6257.1599999999999     
           3           6           9   4337.4759999999997     
           8           2          10   3033.9270000000001     
           7           3          10   4531.5550000000003     
           6           4          10   6497.7110000000002     
           5           5          10   6475.0709999999999     
           4           6          10   6032.0410000000002     
           3           7          10   3643.6599999999999     
           8           3          11   4149.1040000000003     
           7           4          11   5952.8220000000001     
           6           5          11   6927.7110000000002     
           5           6          11   6676.3699999999999     
           4           7          11   5364.0450000000001     
           9           3          12   3701.0000000000000     
           8           4          12   5720.8260000000000     
           7           5          12   6631.2640000000001     
           6           6          12   7680.1440000000002     
           5           7          12   6170.1080000000002     
           4           8          12   4879.0900000000001     
           9           4          13   5273.0699999999997     
           8           5          13   6496.4020000000000     
           7           6          13   7469.8490000000002     
           6           7          13   7238.8630000000003     
           5           8          13   5811.9939999999997     
          10           4          14   4993.8969999999999     
           9           5          14   6101.6450000000004     
           8           6          14   7520.3190000000004     
           7           7          14   7475.6139999999996     
           6           8          14   7052.3080000000000     
           5           9          14   5236.0000000000000     
          11           4          15   4543.0000000000000     
          10           5          15   5879.0500000000002     
           9           6          15   7100.1689999999999     
           8           7          15   7699.4589999999998     
           7           8          15   7463.6920000000000     
           6           9          15   6483.5510000000004     
          12           4          16   4271.0000000000000     
          11           5          16   5509.2280000000001     
          10           6          16   6922.0540000000001     
           9           7          16   7373.8119999999999     
           8           8          16   7976.2060000000001     
           7           9          16   6963.7309999999998     
           6          10          16   6082.5720000000001     
          12           5          17   5266.4610000000002     
          11           6          17   6557.6160000000000     
          10           7          17   7286.1530000000002     
           9           8          17   7750.7309999999998     
           8           9          17   7542.3280000000004     
           7          10          17   6642.8249999999998     
          13           5          18   4947.0000000000000     
          12           6          18   6425.7470000000003     
          11           7          18   7038.4899999999998     
          10           8          18   7767.0249999999996     
           9           9          18   7631.6049999999996     
           8          10          18   7341.2820000000002     
           7          11          18   6249.3289999999997     
          14           5          19   4741.0000000000000     
          13           6          19   6117.9089999999997     
          12           7          19   6948.2349999999997     
          11           8          19   7566.3890000000001     
          10           9          19   7779.0150000000003     
           9          10          19   7567.3750000000000     
           8          11          19   6938.0209999999997     
           7          12          19   5838.2510000000002     
          14           6          20   5958.7330000000002     
          13           7          20   6709.2399999999998     
          12           8          20   7568.5050000000001     
          11           9          20   7720.1310000000003     
          10          10          20   8032.2399999999998     
           9          11          20   7298.6409999999996     
           8          12          20   6723.3919999999998     
          15           6          21   5659.0000000000000     
          14           7          21   6608.0990000000002     
          13           8          21   7389.3320000000003     
          12           9          21   7738.2900000000000     
          11          10          21   7971.7129999999997     
          10          11          21   7765.5240000000003     
           9          12          21   7104.7139999999999     
          16           6          22   5436.0000000000000     
          15           7          22   6366.0850000000000     
          14           8          22   7364.8209999999999     
          13           9          22   7624.2939999999999     
          12          10          22   8080.4650000000001     
          11          11          22   7915.7089999999998     
          10          12          22   7662.6260000000002     
          16           7          23   6164.0000000000000     
          15           8          23   7163.8500000000004     
          14           9          23   7620.4099999999999     
          13          10          23   7955.2550000000001     
          12          11          23   8111.4930000000004     
          11          12          23   7901.1260000000002     
          17           7          24   5862.0000000000000     
          16           8          24   7015.9350000000004     
          15           9          24   7462.9570000000003     
          14          10          24   7993.3190000000004     
          13          11          24   8063.4960000000001     
          12          12          24   8260.7090000000007     
          18           7          25   5592.0000000000000     
          17           8          25   6723.0000000000000     
          16           9          25   7338.7640000000001     
          15          10          25   7842.7010000000000     
          14          11          25   8101.3969999999999     
          13          12          25   8223.5040000000008     
          18           8          26   6457.0000000000000     
          17           9          26   7097.7439999999997     
          16          10          26   7753.8909999999996     
          15          11          26   8004.2600000000002     
          14          12          26   8333.8719999999994     
          19           8          27   6175.0000000000000     
          18           9          27   6887.3180000000002     
          17          10          27   7519.7089999999998     
          16          11          27   7956.9330000000000     
          15          12          27   8263.8539999999994     
          20           8          28   5925.0000000000000     
          19           9          28   6633.0000000000000     
          18          10          28   7390.3149999999996     
          17          11          28   7799.2969999999996     
          16          12          28   8272.4060000000009     
          20           9          29   6439.0000000000000     
          19          10          29   7178.8570000000000     
          18          11          29   7682.6679999999997     
          17          12          29   8113.7610000000004     
          21           9          30   6206.0000000000000     
          20          10          30   7040.4669999999996     
          19          11          30   7505.7539999999999     
          18          12          30   8055.4009999999998     
          22           9          31   6028.0000000000000     
          21          10          31   6824.0000000000000     
          20          11          31   7385.4920000000002     
          19          12          31   7872.2600000000002     
          22          10          32   6662.0000000000000     
          21          11          32   7206.6210000000001     
          20          12          32   7807.7740000000003     
