1  	  1  	  1  	  1
3  	  3  	  0.00320207  	  0.094526
3  	  5  	  0.00699804  	  0.095421
3  	  6  	  0.00152055  	  0.1025
3  	  8  	  0.0013609  	  0.117246
3  	  10  	  0.00154429  	  0.117669
3  	  11  	  0.000404241  	  0.119398
3  	  13  	  3.56588e-05  	  0.120071
3  	  14  	  1.67812e-05  	  0.120393
3  	  16  	  0.000380512  	  0.12317
3  	  18  	  0.000424847  	  0.123372
3  	  19  	  0.000117009  	  0.123853
3  	  21  	  1.20622e-05  	  0.124174
3  	  22  	  5.67998e-06  	  0.124258
3  	  24  	  3.14991e-08  	  0.124682
3  	  25  	  3.14991e-08  	  0.124706
3  	  27  	  0.000111038  	  0.124872
3  	  29  	  0.000117862  	  0.124959
3  	  30  	  3.31366e-05  	  0.125088
3  	  32  	  3.17114e-06  	  0.125217
3  	  33  	  1.53255e-06  	  0.125236
5  	  5  	  0.000143225  	  0.096316
5  	  6  	  0.00213899  	  0.103395
5  	  8  	  0.00134025  	  0.118141
5  	  10  	  5.95237e-05  	  0.118564
5  	  11  	  0.000503063  	  0.120293
5  	  13  	  3.78203e-05  	  0.120966
5  	  14  	  6.42011e-05  	  0.121288
5  	  16  	  0.000365142  	  0.124065
5  	  18  	  1.74055e-05  	  0.124267
5  	  19  	  0.000142064  	  0.124748
5  	  21  	  1.28822e-05  	  0.125069
5  	  22  	  2.20712e-05  	  0.125153
5  	  24  	  3.52307e-07  	  0.125577
5  	  25  	  4.96187e-07  	  0.125601
5  	  27  	  0.000104148  	  0.125767
5  	  29  	  4.67701e-06  	  0.125854
5  	  30  	  3.97357e-05  	  0.125983
5  	  32  	  2.9647e-06  	  0.126112
5  	  33  	  5.43364e-06  	  0.126131
6  	  6  	  0.000767285  	  0.110474
6  	  8  	  0.000255634  	  0.12522
6  	  10  	  0.000390929  	  0.125643
6  	  11  	  0.000371314  	  0.127372
6  	  13  	  6.28773e-05  	  0.128045
6  	  14  	  4.55424e-05  	  0.128367
6  	  16  	  6.83792e-05  	  0.131144
6  	  18  	  0.000105001  	  0.131346
6  	  19  	  0.000105789  	  0.131827
6  	  21  	  2.12015e-05  	  0.132148
6  	  22  	  1.55697e-05  	  0.132232
6  	  24  	  5.60727e-07  	  0.132656
6  	  25  	  5.92438e-07  	  0.13268
6  	  27  	  2.02311e-05  	  0.132846
6  	  29  	  3.05178e-05  	  0.132933
6  	  30  	  3.03277e-05  	  0.133062
6  	  32  	  5.77582e-06  	  0.133191
6  	  33  	  4.24167e-06  	  0.13321
8  	  8  	  0.000143389  	  0.139966
8  	  10  	  0.00029651  	  0.140389
8  	  11  	  6.81869e-05  	  0.142118
8  	  13  	  5.89512e-06  	  0.142791
8  	  14  	  2.70493e-06  	  0.143113
8  	  16  	  8.00876e-05  	  0.14589
8  	  18  	  8.16671e-05  	  0.146092
8  	  19  	  1.98575e-05  	  0.146573
8  	  21  	  2.07146e-06  	  0.146894
8  	  22  	  9.8565e-07  	  0.146978
8  	  27  	  2.3397e-05  	  0.147592
8  	  29  	  2.2693e-05  	  0.147679
8  	  30  	  5.68777e-06  	  0.147808
8  	  32  	  6.03314e-07  	  0.147937
8  	  33  	  2.15486e-07  	  0.147956
10  	  10  	  5.01607e-06  	  0.140812
10  	  11  	  9.53268e-05  	  0.142541
10  	  13  	  6.79819e-06  	  0.143214
10  	  14  	  8.24582e-06  	  0.143536
10  	  16  	  8.05162e-05  	  0.146313
10  	  18  	  2.71228e-06  	  0.146515
10  	  19  	  2.69811e-05  	  0.146996
10  	  21  	  2.19397e-06  	  0.147317
10  	  22  	  2.80036e-06  	  0.147401
10  	  24  	  9.51195e-08  	  0.147825
10  	  25  	  1.42389e-08  	  0.147849
10  	  27  	  2.30024e-05  	  0.148015
10  	  29  	  7.21918e-07  	  0.148102
10  	  30  	  7.58054e-06  	  0.148231
10  	  32  	  5.04864e-07  	  0.14836
10  	  33  	  6.84924e-07  	  0.148379
11  	  11  	  4.51721e-05  	  0.14427
11  	  13  	  1.2733e-05  	  0.144943
11  	  14  	  8.7679e-06  	  0.145265
11  	  16  	  1.81214e-05  	  0.148042
11  	  18  	  2.56625e-05  	  0.148244
11  	  19  	  2.56262e-05  	  0.148725
11  	  21  	  4.25451e-06  	  0.149046
11  	  22  	  2.95804e-06  	  0.14913
11  	  24  	  3.45859e-08  	  0.149554
11  	  25  	  6.28516e-08  	  0.149578
11  	  27  	  5.33988e-06  	  0.149744
11  	  29  	  7.40037e-06  	  0.149831
11  	  30  	  7.29218e-06  	  0.14996
11  	  32  	  1.13787e-06  	  0.150089
11  	  33  	  7.88087e-07  	  0.150108
13  	  13  	  6.96391e-08  	  0.145616
13  	  14  	  1.10593e-06  	  0.145938
13  	  16  	  1.5454e-06  	  0.148715
13  	  18  	  1.83955e-06  	  0.148917
13  	  19  	  3.47807e-06  	  0.149398
13  	  21  	  7.84895e-08  	  0.149719
13  	  22  	  3.78032e-07  	  0.149803
13  	  25  	  2.97217e-08  	  0.150251
13  	  27  	  4.77475e-07  	  0.150417
13  	  29  	  5.66926e-07  	  0.150504
13  	  30  	  1.01744e-06  	  0.150633
13  	  33  	  4.21192e-08  	  0.150781
14  	  14  	  2.68338e-07  	  0.14626
14  	  16  	  6.50446e-07  	  0.149037
14  	  18  	  2.00459e-06  	  0.149239
14  	  19  	  2.33599e-06  	  0.14972
14  	  21  	  3.09359e-07  	  0.150041
14  	  22  	  1.45477e-07  	  0.150125
14  	  27  	  1.5529e-07  	  0.150739
14  	  29  	  5.4275e-07  	  0.150826
