0.100 1.119E-0024
0.125 5.208E-0019
0.150 1.388E-0015
0.175 2.602E-0013
0.200 1.062E-0011
0.225 1.679E-0010
0.250 1.418E-0009
0.275 7.766E-0009
0.300 3.113E-0008
0.320 7.980E-0008
0.340 1.817E-0007
0.360 3.756E-0007
0.380 7.171E-0007
0.400 1.281E-0006
0.420 2.163E-0006
0.440 3.483E-0006
0.460 5.383E-0006
0.480 8.028E-0006
0.500 1.161E-0005
0.550 2.611E-0005
0.600 5.177E-0005
0.650 9.329E-0005
0.700 1.560E-0004
0.750 2.460E-0004
0.800 3.697E-0004
0.900 7.477E-0004
1.000 1.354E-0003
1.100 2.252E-0003
1.200 3.508E-0003
1.300 5.194E-0003
1.400 7.381E-0003
1.500 1.014E-0002
1.600 1.356E-0002
1.700 1.770E-0002
1.800 2.264E-0002
1.900 2.846E-0002
2.000 3.523E-0002
2.100 4.304E-0002
2.200 5.195E-0002
2.300 6.204E-0002
2.400 7.339E-0002
2.500 8.606E-0002
2.600 1.001E-0001
2.700 1.156E-0001
2.800 1.327E-0001
2.900 1.514E-0001
3.000 1.717E-0001
3.200 2.177E-0001
3.400 2.711E-0001
3.500 3.008E-0001
3.800 4.026E-0001
4.000 4.818E-0001
4.200 5.706E-0001
4.400 6.698E-0001
4.600 7.798E-0001
4.800 9.012E-0001
5.000 1.034E+0000
5.200 1.180E+0000
5.400 1.339E+0000
5.600 1.510E+0000
5.800 1.696E+0000
6.000 1.895E+0000
6.500 2.457E+0000
7.000 3.113E+0000
7.500 3.865E+0000
8.000 4.718E+0000
8.500 5.671E+0000
9.000 6.728E+0000
9.500 7.890E+0000
10.000 9.156E+0000
11.000 1.200E+0001
12.000 1.525E+0001
13.000 1.889E+0001
14.000 2.292E+0001
15.000 2.731E+0001
16.000 3.205E+0001
17.000 3.712E+0001
18.000 4.249E+0001
19.000 4.813E+0001
20.000 5.400E+0001
22.000 6.641E+0001
24.000 7.952E+0001
26.000 9.316E+0001
28.000 1.072E+0002
30.000 1.214E+0002
32.000 1.358E+0002
34.000 1.503E+0002
36.000 1.647E+0002
38.000 1.790E+0002
40.000 1.932E+0002
45.000 2.278E+0002
50.000 2.608E+0002
55.000 2.917E+0002
60.000 3.205E+0002
65.000 3.472E+0002
70.000 3.718E+0002
75.000 3.945E+0002
80.000 4.153E+0002
90.000 4.519E+0002
100.000 4.824E+0002
-1  -1
-2  -2
